Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
51;21100850798;"npj Computational Materials";journal;"20573960";3,440;Q1;41;123;156;7851;1860;156;10,25;63,83;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2020";"Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)"
52;17269;"Studies in Mycology";journal;"01660616";3,411;Q1;95;12;53;1947;491;53;9,14;162,25;Netherlands;Western Europe;"Westerdijk Fungal Biodiversity Institute";"1996, 1998-2000, 2002-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
53;21100255423;"R Journal";journal;"20734859";3,375;Q1;42;93;175;2836;1072;168;4,88;30,49;United States;Northern America;"R Foundation for Statistical Computing";"2009-2019";"Numerical Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
54;18391;"Aging Cell";journal;"14749726, 14749718";3,280;Q1;140;183;405;9319;2999;398;6,88;50,92;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2002-2020";"Aging (Q1); Cell Biology (Q1)"
55;21100199809;"Probability Surveys";journal;"15495787";3,280;Q1;43;7;12;464;64;12;5,40;66,29;United States;Northern America;"Institute of Mathematical Statistics";"2004-2020";"Statistics and Probability (Q1)"
56;21100872127;"npj Quantum Materials";journal;"23974648";3,261;Q1;38;63;149;3212;1344;147;8,92;50,98;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2020";"Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
57;21100933954;"Big Data and Society";journal;"20539517";3,249;Q1;37;47;149;2489;1080;123;5,59;52,96;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2020";"Communication (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)"
58;19700175861;"Gut Microbes";journal;"19490984, 19490976";3,245;Q1;72;59;160;2470;1349;144;7,22;41,86;United States;Northern America;"Landes Bioscience";"2010-2020";"Gastroenterology (Q1); Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
59;17900156736;"Journal of Hematology and Oncology";journal;"17568722";3,231;Q1;84;137;436;11317;3913;429;9,98;82,61;United Kingdom;Western Europe;"BioMed Central Ltd.";"2008-2020";"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)"
60;89440;"Genomics, Proteomics and Bioinformatics";journal;"16720229";3,224;Q1;49;61;143;3364;1000;117;6,13;55,15;China;Asiatic Region;"Beijing Genomics Institute";"2003-2020";"Biochemistry (Q1); Computational Mathematics (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
